Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1509,750,2259,Pindaya,MMR014006
 Rural,7339,7946,15285,Pindaya,MMR014006
 Total,8848,8696,17544,Pindaya,MMR014006
