Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,6061,5654,11715,Thanbyuzayat,MMR011004
 Rural,13848,10671,24519,Thanbyuzayat,MMR011004
 Total,19909,16325,36234,Thanbyuzayat,MMR011004
