Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,26,6094,6120,Kyauktada,MMR013033
 Total,26,6094,6120,Kyauktada,MMR013033
