Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,11261,5369,16630,Amarapura,MMR010006
 Rural,22684,10312,32996,Amarapura,MMR010006
 Total,33945,15681,49626,Amarapura,MMR010006
