Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,5310,2936,8246,Zeyarthiri,MMR018001
 Rural,8213,9616,17829,Zeyarthiri,MMR018001
 Total,13523,12552,26075,Zeyarthiri,MMR018001
