Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,5517,1291,6808,Tantyan,MMR015004
 Rural,17544,10790,28334,Tantyan,MMR015004
 Total,23061,12081,35142,Tantyan,MMR015004
