Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,436,122,558,Minekat,MMR016002
 Rural,4816,2651,7467,Minekat,MMR016002
 Total,5252,2773,8025,Minekat,MMR016002
