Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,153,624,777,Ahmar(ST),MMR017023
 Rural,2952,24057,27009,Ahmar(ST),MMR017023
 Total,3105,24681,27786,Ahmar(ST),MMR017023
