Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,4860,4286,9146,Tatkon,MMR018003
 Rural,15348,27253,42601,Tatkon,MMR018003
 Total,20208,31539,51747,Tatkon,MMR018003
