Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,14805,9158,23963,Meiktila,MMR010028
 Rural,21350,23126,44476,Meiktila,MMR010028
 Total,36155,32284,68439,Meiktila,MMR010028
