Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,657,322,979,Naungtayar(ST),MMR014009
 Rural,9490,6110,15600,Naungtayar(ST),MMR014009
 Total,10147,6432,16579,Naungtayar(ST),MMR014009
