Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,24322,25412,49734,Mawlamyine,MMR011001
 Rural,3075,4648,7723,Mawlamyine,MMR011001
 Total,27397,30060,57457,Mawlamyine,MMR011001
