Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1643,3537,5180,Danubyu,MMR017022
 Rural,8374,31243,39617,Danubyu,MMR017022
 Total,10017,34780,44797,Danubyu,MMR017022
