Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,4915,7598,12513,Myaungmya,MMR017014
 Rural,6536,47123,53659,Myaungmya,MMR017014
 Total,11451,54721,66172,Myaungmya,MMR017014
