Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,11905,12817,24722,Zabuthiri,MMR018002
 Rural,703,895,1598,Zabuthiri,MMR018002
 Total,12608,13712,26320,Zabuthiri,MMR018002
