Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1174,368,1542,Kunhing,MMR014014
 Rural,1905,1123,3028,Kunhing,MMR014014
 Total,3079,1491,4570,Kunhing,MMR014014
