Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,8420,2674,11094,Tachileik,MMR016009
 Rural,15112,4973,20085,Tachileik,MMR016009
 Total,23532,7647,31179,Tachileik,MMR016009
