Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,403,210,613,Minengaw(ST),MMR015012
 Rural,1350,2066,3416,Minengaw(ST),MMR015012
 Total,1753,2276,4029,Minengaw(ST),MMR015012
