Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1744,2300,4044,Bilin,MMR011010
 Rural,9010,26177,35187,Bilin,MMR011010
 Total,10754,28477,39231,Bilin,MMR011010
