Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,2354,1509,3863,Taungtha,MMR010018
 Rural,19426,26563,45989,Taungtha,MMR010018
 Total,21780,28072,49852,Taungtha,MMR010018
