Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,246,2224,2470,Pauktaw,MMR012007
 Rural,97,27977,28074,Pauktaw,MMR012007
 Total,343,30201,30544,Pauktaw,MMR012007
