Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,63,8536,8599,Lanmadaw,MMR013035
 Total,63,8536,8599,Lanmadaw,MMR013035
