Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,622,1626,2248,Yanbye,MMR012013
 Rural,1458,18712,20170,Yanbye,MMR012013
 Total,2080,20338,22418,Yanbye,MMR012013
