Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,3634,3240,6874,Pyawbwe,MMR010024
 Rural,21376,30613,51989,Pyawbwe,MMR010024
 Total,25010,33853,58863,Pyawbwe,MMR010024
