Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,1972,2282,4254,Kyaukpyu,MMR012011
 Rural,2699,30311,33010,Kyaukpyu,MMR012011
 Total,4671,32593,37264,Kyaukpyu,MMR012011
