Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,5500,59256,64756,North Okkalapa,MMR013012
 Total,5500,59256,64756,North Okkalapa,MMR013012
