Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,2277,5601,7878,Khayan,MMR013026
 Rural,10040,21396,31436,Khayan,MMR013026
 Total,12317,26997,39314,Khayan,MMR013026
