Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,951,3007,3958,Kungyangon,MMR013029
 Rural,5168,19226,24394,Kungyangon,MMR013029
 Total,6119,22233,28352,Kungyangon,MMR013029
