Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,7776,1326,9102,Kengtung,MMR016001
 Rural,19019,5975,24994,Kengtung,MMR016001
 Total,26795,7301,34096,Kengtung,MMR016001
