Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,549,213,762,Kenglat(ST),MMR016009
 Rural,1105,609,1714,Kenglat(ST),MMR016009
 Total,1654,822,2476,Kenglat(ST),MMR016009
