Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,121,8276,8397,Botahtaung,MMR013017
 Total,121,8276,8397,Botahtaung,MMR013017
