Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,4113,1111,5224,Panglong(ST),MMR014011
 Rural,7204,2088,9292,Panglong(ST),MMR014011
 Total,11317,3199,14516,Panglong(ST),MMR014011
