Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,47,10259,10306,Pazuntaung,MMR013016
 Total,47,10259,10306,Pazuntaung,MMR013016
