Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,305,202,507,Minesan(Monsan)(ST),MMR014017
 Rural,2064,4095,6159,Minesan(Monsan)(ST),MMR014017
 Total,2369,4297,6666,Minesan(Monsan)(ST),MMR014017
