Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,209,17217,17426,Bahan,MMR013044
 Total,209,17217,17426,Bahan,MMR013044
