Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Urban,566,186,752,Minenaung(ST),MMR014015
 Rural,3097,1962,5059,Minenaung(ST),MMR014015
 Total,3663,2148,5811,Minenaung(ST),MMR014015
