Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,1926,1878,3804,Manhero(ST),MMR015009
 Illiterate,857,1373,2230,Manhero(ST),MMR015009
 Total,2783,3251,6034,Manhero(ST),MMR015009
