Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,42455,44914,87369,Kyukme,MMR015012
 Illiterate,8085,13513,21598,Kyukme,MMR015012
 Total,50540,58427,108967,Kyukme,MMR015012
