Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,13930,12121,26051,Mongkai,MMR014016
 Illiterate,15022,22723,37745,Mongkai,MMR014016
 Total,28952,34844,63796,Mongkai,MMR014016
