Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,108258,123246,231504,Magway,MMR009001
 Illiterate,5178,14123,19301,Magway,MMR009001
 Total,113436,137369,250805,Magway,MMR009001
