Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,97965,112513,210478,Pyay,MMR008001
 Illiterate,3369,6476,9845,Pyay,MMR008001
 Total,101334,118989,220323,Pyay,MMR008001
