Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,17966,18103,36069,Mabane,MMR015018
 Illiterate,515,866,1381,Mabane,MMR015018
 Total,18481,18969,37450,Mabane,MMR015018
