Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,55694,56220,111914,Ye,MMR011006
 Illiterate,7563,11860,19423,Ye,MMR011006
 Total,63257,68080,131337,Ye,MMR011006
