Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,272767,308083,580850,Hlinethaya,MMR013008
 Illiterate,10330,17863,28193,Hlinethaya,MMR013008
 Total,283097,325946,609043,Hlinethaya,MMR013008
