Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,19520,16999,36519,Tamoenye(ST),MMR015011
 Illiterate,12879,14816,27695,Tamoenye(ST),MMR015011
 Total,32399,31815,64214,Tamoenye(ST),MMR015011
