Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,46962,46000,92962,Yatsauk,MMR014008
 Illiterate,4930,9022,13952,Yatsauk,MMR014008
 Total,51892,55022,106914,Yatsauk,MMR014008
