Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,5691,5832,11523,Minenaung(ST),MMR014015
 Illiterate,5768,7880,13648,Minenaung(ST),MMR014015
 Total,11459,13712,25171,Minenaung(ST),MMR014015
