Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,56649,57857,114506,Naungkhio,MMR015013
 Illiterate,4407,7344,11751,Naungkhio,MMR015013
 Total,61056,65201,126257,Naungkhio,MMR015013
