Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Illiterate,4787,7176,11963,Kyaungon,MMR017007
 Total,69631,76707,146338,Kyaungon,MMR017007
 Literate,93662,99868,193530,Kyonpyaw,MMR017005
 Illiterate,7233,10935,18168,Kyonpyaw,MMR017005
 Total,100895,110803,211698,Kyonpyaw,MMR017005
 Literate,67424,67989,135413,Ngaputaw,MMR017004
 Illiterate,6662,7713,14375,Ngaputaw,MMR017004
 Total,74086,75702,149788,Ngaputaw,MMR017004
 Literate,112015,125335,237350,Pathein,MMR017001
 Illiterate,5287,8707,13994,Pathein,MMR017001
 Total,117302,134042,251344,Pathein,MMR017001
 Literate,42319,47070,89389,Yekyi,MMR017006
 Illiterate,1948,3616,5564,Yekyi,MMR017006
 Total,44267,50686,94953,Yekyi,MMR017006
 Literate,62597,64295,126892,Thapaung,MMR017003
 Illiterate,4042,6380,10422,Thapaung,MMR017003
 Total,66639,70675,137314,Thapaung,MMR017003
 Literate,17728,16723,34451,Ngayokaung(ST),MMR017004
 Illiterate,1017,1691,2708,Ngayokaung(ST),MMR017004
 Total,18745,18414,37159,Ngayokaung(ST),MMR017004
 Literate,48623,47856,96479,Hainggyikyun(ST),MMR017004
 Illiterate,2337,3499,5836,Hainggyikyun(ST),MMR017004
 Total,50960,51355,102315,Hainggyikyun(ST),MMR017004
 Literate,17071,17404,34475,Shwethaungyan(ST),MMR017001
 Illiterate,1339,1665,3004,Shwethaungyan(ST),MMR017001
 Total,18410,19069,37479,Shwethaungyan(ST),MMR017001
 Literate,15755,15595,31350,Ngwehsaung(ST),MMR017001
 Illiterate,1736,2088,3824,Ngwehsaung(ST),MMR017001
 Total,17491,17683,35174,Ngwehsaung(ST),MMR017001
 Literate,35781,38930,74711,Ngathaingchaung(ST),MMR017006
 Illiterate,1879,3492,5371,Ngathaingchaung(ST),MMR017006
 Total,37660,42422,80082,Ngathaingchaung(ST),MMR017006
 Literate,77611,81210,158821,Kyaiklatt,MMR017025
 Illiterate,3673,5659,9332,Kyaiklatt,MMR017025
 Total,81284,86869,168153,Kyaiklatt,MMR017025
 Literate,82502,86249,168751,Daydaye,MMR017026
 Illiterate,4315,6326,10641,Daydaye,MMR017026
 Total,86817,92575,179392,Daydaye,MMR017026
 Literate,74958,78863,153821,Phyapon,MMR017023
 Illiterate,4579,7261,11840,Phyapon,MMR017023
 Total,79537,86124,165661,Phyapon,MMR017023
 Literate,126970,128247,255217,Bogale,MMR017024
 Illiterate,10390,16284,26674,Bogale,MMR017024
 Total,137360,144531,281891,Bogale,MMR017024
 Literate,49074,48070,97144,Ahmar(ST),MMR017023
 Illiterate,4815,7189,12004,Ahmar(ST),MMR017023
 Total,53889,55259,109148,Ahmar(ST),MMR017023
 Literate,86101,90583,176684,Nyaungdon,MMR017021
 Illiterate,5137,8601,13738,Nyaungdon,MMR017021
 Total,91238,99184,190422,Nyaungdon,MMR017021
 Literate,72405,80418,152823,Danubyu,MMR017022
 Illiterate,3305,5416,8721,Danubyu,MMR017022
 Total,75710,85834,161544,Danubyu,MMR017022
 Literate,105157,111490,216647,Pantanaw,MMR017020
 Illiterate,7723,12059,19782,Pantanaw,MMR017020
 Total,112880,123549,236429,Pantanaw,MMR017020
 Literate,125740,133633,259373,Maubin,MMR017019
 Illiterate,7154,11129,18283,Maubin,MMR017019
 Total,132894,144762,277656,Maubin,MMR017019
 Literate,116398,122051,238449,Myaungmya,MMR017014
 Illiterate,10755,14709,25464,Myaungmya,MMR017014
 Total,127153,136760,263913,Myaungmya,MMR017014
 Literate,113121,118243,231364,Wakema,MMR017017
 Illiterate,10141,15801,25942,Wakema,MMR017017
 Total,123262,134044,257306,Wakema,MMR017017
 Literate,75822,79099,154921,Einme,MMR017015
 Illiterate,7965,11126,19091,Einme,MMR017015
 Total,83787,90225,174012,Einme,MMR017015
 Literate,126257,127921,254178,Mawlamyinegyun,MMR017018
 Illiterate,7855,14046,21901,Mawlamyinegyun,MMR017018
 Total,134112,141967,276079,Mawlamyinegyun,MMR017018
 Literate,91053,88980,180033,Labutta,MMR017016
 Illiterate,8178,13123,21301,Labutta,MMR017016
 Total,99231,102103,201334,Labutta,MMR017016
 Literate,33310,29676,62986,Pyinsalu(ST),MMR017016
 Illiterate,3339,4592,7931,Pyinsalu(ST),MMR017016
 Total,36649,34268,70917,Pyinsalu(ST),MMR017016
 Literate,39719,44768,84487,Kyangin,MMR017012
 Illiterate,1173,2162,3335,Kyangin,MMR017012
 Total,40892,46930,87822,Kyangin,MMR017012
 Literate,67248,75166,142414,Zalun,MMR017009
 Illiterate,2944,5738,8682,Zalun,MMR017009
 Total,70192,80904,151096,Zalun,MMR017009
 Literate,87828,100136,187964,Myanaung,MMR017011
 Illiterate,3463,7128,10591,Myanaung,MMR017011
 Total,91291,107264,198555,Myanaung,MMR017011
 Literate,41618,45046,86664,Laymyethna,MMR017010
 Illiterate,2071,3548,5619,Laymyethna,MMR017010
 Total,43689,48594,92283,Laymyethna,MMR017010
 Literate,135235,152965,288200,Hinthada,MMR017008
 Illiterate,5311,10535,15846,Hinthada,MMR017008
 Total,140546,163500,304046,Hinthada,MMR017008
 Literate,87011,95943,182954,Ingapu,MMR017013
 Illiterate,3286,6426,9712,Ingapu,MMR017013
 Total,90297,102369,192666,Ingapu,MMR017013
 Literate,85380,91327,176707,Tatkon,MMR018003
 Illiterate,3643,11716,15359,Tatkon,MMR018003
 Total,89023,103043,192066,Tatkon,MMR018003
 Literate,43430,45749,89179,Zeyarthiri,MMR018001
 Illiterate,1428,3108,4536,Zeyarthiri,MMR018001
