Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Total,44858,48857,93715,Zeyarthiri,MMR018001
 Literate,31265,30051,61316,Ottarathiri,MMR018008
 Illiterate,1753,4549,6302,Ottarathiri,MMR018008
 Total,33018,34600,67618,Ottarathiri,MMR018008
 Literate,44604,46464,91068,Pobbathiri,MMR018005
 Illiterate,1843,4953,6796,Pobbathiri,MMR018005
 Total,46447,51417,97864,Pobbathiri,MMR018005
 Literate,72370,79857,152227,Pyinmana,MMR018006
 Illiterate,3028,6243,9271,Pyinmana,MMR018006
 Total,75398,86100,161498,Pyinmana,MMR018006
 Literate,114064,119926,233990,Lewe,MMR018007
 Illiterate,4499,11536,16035,Lewe,MMR018007
 Total,118563,131462,250025,Lewe,MMR018007
 Literate,37939,43077,81016,Zabuthiri,MMR018002
 Illiterate,831,1577,2408,Zabuthiri,MMR018002
 Total,38770,44654,83424,Zabuthiri,MMR018002
 Literate,11460,11599,23059,Dekkhinathiri,MMR018004
 Illiterate,472,1223,1695,Dekkhinathiri,MMR018004
 Total,11932,12822,24754,Dekkhinathiri,MMR018004
 Literate,18512796,20150546,38663342,Dekkhinathiri,MMR018004
 Illiterate,1809611,3044194,4853805,Dekkhinathiri,MMR018004
 Total,20322407,23194740,43517147,Dekkhinathiri,MMR018004
