Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,60437,64714,125151,Myothit,MMR009005
 Illiterate,3871,12925,16796,Myothit,MMR009005
 Total,64308,77639,141947,Myothit,MMR009005
