Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,48903,57728,106631,Shwedaung,MMR008006
 Illiterate,1485,2768,4253,Shwedaung,MMR008006
 Total,50388,60496,110884,Shwedaung,MMR008006
