Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,72127,80151,152278,Nattalin,MMR008012
 Illiterate,2468,3701,6169,Nattalin,MMR008012
 Total,74595,83852,158447,Nattalin,MMR008012
