Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,69342,84353,153695,Chauk,MMR009003
 Illiterate,3128,10172,13300,Chauk,MMR009003
 Total,72470,94525,166995,Chauk,MMR009003
