Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,44927,50346,95273,Htantapin,MMR007014
 Illiterate,3059,5498,8557,Htantapin,MMR007014
 Total,47986,55844,103830,Htantapin,MMR007014
