Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,68528,80883,149411,Mudon,MMR011005
 Illiterate,5975,8230,14205,Mudon,MMR011005
 Total,74503,89113,163616,Mudon,MMR011005
