Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,12459,11050,23509,Indaw(ST),MMR014008
 Illiterate,3493,5466,8959,Indaw(ST),MMR014008
 Total,15952,16516,32468,Indaw(ST),MMR014008
