Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,97105,103753,200858,Kyauktaga,MMR007006
 Illiterate,7638,14399,22037,Kyauktaga,MMR007006
 Total,104743,118152,222895,Kyauktaga,MMR007006
