Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,7192,6202,13394,Monekoe(ST),MMR015009
 Illiterate,4008,4272,8280,Monekoe(ST),MMR015009
 Total,11200,10474,21674,Monekoe(ST),MMR015009
