Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,64372,69631,134003,Bilin,MMR011010
 Illiterate,8614,13279,21893,Bilin,MMR011010
 Total,72986,82910,155896,Bilin,MMR011010
