Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,27274,34206,61480,Yankin,MMR013010
 Illiterate,584,1283,1867,Yankin,MMR013010
 Total,27858,35489,63347,Yankin,MMR013010
