Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,16371,16360,32731,Theinni,MMR015002
 Illiterate,7130,8625,15755,Theinni,MMR015002
 Total,23501,24985,48486,Theinni,MMR015002
