Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,14692,15581,30273,Namtu,MMR015015
 Illiterate,5522,7401,12923,Namtu,MMR015015
 Total,20214,22982,43196,Namtu,MMR015015
