Read_and_write,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Literate,32182,29248,61430,Tantyan,MMR015004
 Illiterate,36754,49347,86101,Tantyan,MMR015004
 Total,68936,78595,147531,Tantyan,MMR015004
